No,PM_US Post
0,0.5684094604197484
1,0.8338319671835995
2,0.05120394004252882
3,0.32267353943437926
4,0.11490503640915017
5,0.01776891515737622
6,0.36808056636681874
7,0.6266116807584242
8,0.9835770814085624
9,0.1253950512463533
10,0.965381163451493
11,0.039240816035649995
12,0.9998223083827423
13,0.9459942361200743
14,0.89528045355407
15,0.0033735553333361645
16,0.8301607589327041
17,0.5598925963148963
18,0.02851124156262641
19,0.1909152996899367
20,0.042889134573327214
21,0.7806257117028833
22,0.8281047773491217
23,0.0024708203462167067
24,0.5550040033705212
25,0.5842120783447743
26,0.8044488671071276
27,0.6953708197483004
28,0.8489382235713522
29,0.13127296886139228
30,0.1686923605134436
31,0.6934171062188178
32,0.3891103214555852
33,0.9289668032932871
34,0.5904871027403641
35,0.24732041135777283
36,0.7416113036722174
37,0.741073733111769
38,0.7184192456994208
39,0.40094898519744226
40,0.8476367638476611
41,0.7924710380621027
42,0.4992853890749075
43,0.7435122366171555
44,0.5143098513001731
45,0.12426359399206499
46,0.9057448889786637
47,0.5337259258769415
48,0.35598802820476794
49,0.9176213757843891
50,0.6217859937868175
51,0.4279975492782132
52,0.4266357292766608
53,0.8592212000550921
54,0.9371452949489167
55,0.9055725719849209
56,0.4518011128345224
57,0.5916806488998819
58,0.05978318476368627
59,0.13941129817079911
60,0.9240195659409237
61,0.8696736952308612
62,0.5284131746171626
63,0.09881716588488954
64,0.9324608955073274
65,0.43443352626129783
66,0.046024482474381734
67,0.6474351580444093
68,0.4583157415256971
69,0.2620752916766138
70,0.6138578740269232
71,0.24170893628146028
72,0.9471064175136863
73,0.4679087993901697
74,0.40982968667918174
75,0.9331853608788054
76,0.9305643230794496
77,0.9326051227103118
78,0.9008367363912885
79,0.11690266826653617
80,0.47051491794299716
81,0.40234074682123855
82,0.009309911835326923
83,0.9850648706798398
84,0.9252901336319777
85,0.9268579001771582
86,0.40334353622762054
87,0.49986881854850285
88,0.6663286490843181
89,0.5603248834482119
90,0.4189927176117434
91,0.48454998048349274
92,0.4865438313413175
93,0.3235822669463758
94,0.18823932133527577
95,0.7531241666271085
96,0.9999549188344196
97,0.03590313386016375
98,0.841077485188953
99,0.3287869949160298
100,0.8260717186421672
101,0.4674610075765586
102,0.4464014470682166
103,0.5871095452625401
104,0.32437102908431037
105,0.2365855189765793
106,0.4006664869940679
107,0.4182522319745805
108,0.8491401709035341
109,0.18739369698284947
110,0.45576920346501193
111,0.2861738471459663
112,0.47903050555503146
113,0.09231465826975438
114,0.7279289174359049
115,0.9577270124245169
116,0.7902706913110485
117,0.43246498741535067
118,0.9007132137105375
119,0.09688993918054256
120,0.07159014615541426
121,0.9892814361737178
122,0.3323520548819602
123,0.7240941560110039
124,0.7067939750244434
125,0.7925788006619358
126,0.5037757406076084
127,0.6342614058457947
128,0.5364107106134289
129,0.6536878137961134
130,0.7791838670473316
131,0.200186045174512
132,0.0017006008644313564
133,0.2180499325531009
134,0.8592439080868499
135,0.4683853358893224
136,0.9490047360707133
137,0.8964725101513205
138,0.33447669277939196
139,0.03960248757272766
140,0.9189072646843062
141,0.10036501634048955
142,0.5566464962595156
143,0.8920662336767453
144,0.6131358158647942
145,0.17649259573721554
146,0.5332321838219097
147,0.8771991448083482
148,0.8956462739907581
149,0.6415614052387008
